Lines_Read,Exec_Time_No_Tests,Exec_Time_With_Tests
100,0.00020194053649902344,0.012141704559326172
1000,0.0022628307342529297,0.12855911254882812
2000,0.0037338733673095703,0.16068291664123535
3000,0.005777835845947266,0.2696080207824707
4000,0.007252931594848633,0.31351208686828613
5000,0.009147882461547852,0.4230327606201172
6000,0.010992050170898438,0.4855170249938965
7000,0.012647390365600586,0.558236837387085
8000,0.015251874923706055,0.6455209255218506
9000,0.017141103744506836,0.8079671859741211
10000,0.018102169036865234,0.7933409214019775
